epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5045211911201477,1.3934485912322998,0.0005,0.008165225386619568,4.929869174957275
1,0.5674064755439758,1.212373971939087,0.0005,0.5350624322891235,1.5361765623092651
2,0.5988491773605347,1.0524944067001343,0.0005,0.5124880075454712,1.6178454160690308
3,0.6011097431182861,0.9660782217979431,0.0005,0.580211341381073,1.0794298648834229
4,0.6241266131401062,0.9063297510147095,0.0005,0.5782901048660278,1.2600830793380737
5,0.6402589678764343,0.8112144470214844,0.0005,0.4519692659378052,2.0849835872650146
6,0.6315248608589172,0.8445947170257568,0.0005,0.5470701456069946,1.192475438117981
7,0.6394369006156921,0.8282995223999023,0.0005,0.5110470652580261,1.859631896018982
8,0.6503288149833679,0.7774383425712585,0.0005,0.5609990358352661,1.185244083404541
9,0.6810522079467773,0.6432505249977112,0.00025,0.6983669400215149,0.6855922937393188
10,0.696465253829956,0.6308595538139343,0.00025,0.5244956612586975,2.311265707015991
11,0.6946157217025757,0.6350313425064087,0.00025,0.6993275880813599,0.7338497638702393
12,0.7016029357910156,0.6151490211486816,0.00025,0.7190201878547668,0.7280942797660828
13,0.7285244464874268,0.5573161840438843,0.00025,0.6090297698974609,1.0223125219345093
14,0.7333539128303528,0.5525229573249817,0.00025,0.6445725560188293,0.8556537628173828
15,0.7555487155914307,0.4940073788166046,0.000125,0.6075888276100159,1.2196909189224243
16,0.7538018822669983,0.4994127154350281,0.000125,0.7377521395683289,0.6546146869659424
17,0.7677764296531677,0.4641430974006653,0.000125,0.7324687838554382,0.6470625996589661
18,0.7630497217178345,0.4958999752998352,0.000125,0.6263208389282227,1.0072298049926758
19,0.777538001537323,0.4473208785057068,0.000125,0.7055715918540955,0.7743512392044067
20,0.776099443435669,0.4441625475883484,0.000125,0.7180595397949219,0.8511945605278015
21,0.7783600687980652,0.4475308358669281,0.000125,0.7761767506599426,0.5332707166671753
22,0.7780517935752869,0.4483911097049713,0.000125,0.7363112568855286,0.6563054919242859
23,0.785861074924469,0.4249594807624817,0.000125,0.7459173798561096,0.6782277226448059
24,0.7855527997016907,0.4111312925815582,0.000125,0.7968299984931946,0.4937807321548462
25,0.7918208241462708,0.4036415219306946,0.000125,0.7732949256896973,0.5856907367706299
26,0.7919235229492188,0.3984876275062561,0.000125,0.7612872123718262,0.6227973699569702
27,0.8004521131515503,0.3727121651172638,0.000125,0.6733909845352173,0.8714517951011658
28,0.7971640229225159,0.3847658038139343,0.000125,0.7867435216903687,0.4993400573730469
29,0.7938758730888367,0.38561010360717773,0.000125,0.8107588887214661,0.4404531419277191
30,0.800143837928772,0.38957107067108154,0.000125,0.7723342776298523,0.5817161798477173
31,0.7959309220314026,0.3947191834449768,0.000125,0.7973102927207947,0.4883573651313782
32,0.800143837928772,0.3797021508216858,0.000125,0.7949087619781494,0.5051519274711609
33,0.8030209541320801,0.35800233483314514,0.000125,0.7718539834022522,0.587791383266449
34,0.8052815198898315,0.3538297712802887,0.000125,0.8112391829490662,0.4589569866657257
35,0.8122687935829163,0.3341938555240631,6.25e-05,0.7646493911743164,0.607166588306427
36,0.8169955015182495,0.3181682825088501,6.25e-05,0.818443775177002,0.4230860471725464
37,0.8189477920532227,0.318553626537323,6.25e-05,0.8179634809494019,0.4229503870010376
38,0.8180230259895325,0.32027438282966614,6.25e-05,0.7804995179176331,0.562485933303833
39,0.8168927431106567,0.3234996199607849,6.25e-05,0.7973102927207947,0.47314122319221497
40,0.8132963180541992,0.31887975335121155,6.25e-05,0.8112391829490662,0.42291712760925293
41,0.8220304250717163,0.3125092089176178,6.25e-05,0.8073967099189758,0.43678438663482666
42,0.8187422752380371,0.31602269411087036,6.25e-05,0.8045148849487305,0.4522111713886261
43,0.8233662247657776,0.2917579710483551,3.125e-05,0.7867435216903687,0.5124393105506897
44,0.825626790523529,0.29025188088417053,3.125e-05,0.8117194771766663,0.4436691999435425
45,0.8247020244598389,0.2883104979991913,3.125e-05,0.8131604194641113,0.4247821271419525
46,0.8269625902175903,0.2918081283569336,3.125e-05,0.7973102927207947,0.4818926453590393
47,0.824188232421875,0.2949814796447754,3.125e-05,0.8107588887214661,0.4441245198249817
48,0.8270653486251831,0.28834882378578186,1.5625e-05,0.8121998310089111,0.4331316351890564
49,0.8270653486251831,0.2819588780403137,1.5625e-05,0.798751175403595,0.4928731918334961
50,0.8253185153007507,0.28308790922164917,1.5625e-05,0.809317946434021,0.44916218519210815
51,0.8265515565872192,0.2825547754764557,1.5625e-05,0.809317946434021,0.4422540068626404
52,0.8282983899116516,0.27958738803863525,1.5625e-05,0.8016330599784851,0.46851885318756104
